version,canton,wer,substitutions,deletions,insertions,total_errors,n_samples
v1,AG,0.25888406496221256,2397.0,417.0,406.0,3220.0,1550.0
v1,BE,0.3463639122079498,4993.0,903.0,953.0,6849.0,2494.0
v1,BL,0.34797768479776847,2691.0,376.0,426.0,3493.0,1254.0
v1,BS,0.29817613921579567,4121.0,580.0,645.0,5346.0,2261.0
v1,GL,0.2810979847116053,596.0,122.0,91.0,809.0,364.0
v1,GR,0.2658177634971637,4894.0,786.0,1021.0,6701.0,3159.0
v1,LU,0.2503104229055584,2519.0,440.0,468.0,3427.0,1704.0
v1,SG,0.28690378289473684,4159.0,666.0,757.0,5582.0,2450.0
v1,SH,0.18695965417867436,397.0,48.0,74.0,519.0,344.0
v1,SO,0.33405039950829746,1639.0,270.0,265.0,2174.0,813.0
v1,TG,0.27672188317349605,1124.0,179.0,284.0,1587.0,721.0
v1,TI,0.20304568527918782,420.0,52.0,88.0,560.0,356.0
v1,UR,0.21841919548341568,469.0,73.0,77.0,619.0,365.0
v1,VS,0.3793756927807773,7871.0,1161.0,1578.0,10610.0,3515.0
v1,ZG,0.2064212179375327,868.0,141.0,174.0,1183.0,723.0
v1,ZH,0.23958697061904524,3606.0,525.0,672.0,4803.0,2532.0
v2,AG,0.22278501366779224,2020.0,380.0,371.0,2771.0,1550.0
v2,BE,0.3019621725498129,4310.0,776.0,885.0,5971.0,2494.0
v2,BL,0.3167961745367603,2429.0,342.0,409.0,3180.0,1254.0
v2,BS,0.2691728484578058,3677.0,506.0,643.0,4826.0,2261.0
v2,GL,0.24669909659485753,507.0,114.0,89.0,710.0,364.0
v2,GR,0.22809314133841088,4362.0,603.0,785.0,5750.0,3159.0
v2,LU,0.21459352859542766,2125.0,392.0,421.0,2938.0,1704.0
v2,SG,0.24861225328947367,3634.0,561.0,642.0,4837.0,2450.0
v2,SH,0.17038904899135446,348.0,50.0,75.0,473.0,344.0
v2,SO,0.284419176398279,1343.0,261.0,247.0,1851.0,813.0
v2,TG,0.25300784655623365,1030.0,147.0,274.0,1451.0,721.0
v2,TI,0.18346627991298042,374.0,45.0,87.0,506.0,356.0
v2,UR,0.18560338743824983,400.0,62.0,64.0,526.0,365.0
v2,VS,0.3311760288911932,7020.0,1022.0,1220.0,9262.0,3515.0
v2,ZG,0.17623451404641424,737.0,105.0,168.0,1010.0,723.0
v2,ZH,0.20576644884521375,3068.0,473.0,584.0,4125.0,2532.0
v3,AG,0.21394114809454895,1985.0,327.0,349.0,2661.0,1550.0
v3,BE,0.2982704561545464,4343.0,761.0,794.0,5898.0,2494.0
v3,BL,0.2903964933253636,2246.0,328.0,341.0,2915.0,1254.0
v3,BS,0.25037648502426235,3436.0,478.0,575.0,4489.0,2261.0
v3,GL,0.2425295343988881,495.0,112.0,91.0,698.0,364.0
v3,GR,0.2252766868975366,4243.0,682.0,754.0,5679.0,3159.0
v3,LU,0.2119640639836389,2143.0,345.0,414.0,2902.0,1704.0
v3,SG,0.24244449013157895,3529.0,542.0,646.0,4717.0,2450.0
v3,SH,0.16354466858789626,333.0,48.0,73.0,454.0,344.0
v3,SO,0.2526121696373694,1250.0,215.0,179.0,1644.0,813.0
v3,TG,0.25021795989537926,1000.0,160.0,275.0,1435.0,721.0
v3,TI,0.1994198694706309,409.0,54.0,87.0,550.0,356.0
v3,UR,0.18807339449541285,387.0,75.0,71.0,533.0,365.0
v3,VS,0.3309972467551042,7015.0,1118.0,1124.0,9257.0,3515.0
v3,ZG,0.1765834932821497,749.0,120.0,143.0,1012.0,723.0
v3,ZH,0.20217488901082456,3036.0,467.0,550.0,4053.0,2532.0
